행정구역(시군구)별,항목,2019. 03 월
서울특별시,총전입[명],135592
서울특별시,총전출[명],137242
서울특별시,순이동[명],-1650
서울특별시,시도내이동-시군구내[명],37770
서울특별시,시도내이동-시군구간 전입[명],51496
서울특별시,시도내이동-시군구간 전출[명],51496
서울특별시,시도간전입[명],46326
서울특별시,시도간전출[명],47976
서울특별시 중구,총전입[명],1672
서울특별시 중구,총전출[명],1729
서울특별시 중구,순이동[명],-57
서울특별시 중구,시도내이동-시군구내[명],213
서울특별시 중구,시도내이동-시군구간 전입[명],844
서울특별시 중구,시도내이동-시군구간 전출[명],954
서울특별시 중구,시도간전입[명],615
서울특별시 중구,시도간전출[명],562
대구광역시,총전입[명],25283
대구광역시,총전출[명],27708
대구광역시,순이동[명],-2425
대구광역시,시도내이동-시군구내[명],8313
대구광역시,시도내이동-시군구간 전입[명],9541
대구광역시,시도내이동-시군구간 전출[명],9541
대구광역시,시도간전입[명],7429
대구광역시,시도간전출[명],9854
대구광역시 중구,총전입[명],1101
대구광역시 중구,총전출[명],1272
대구광역시 중구,순이동[명],-171
대구광역시 중구,시도내이동-시군구내[명],219
대구광역시 중구,시도내이동-시군구간 전입[명],512
대구광역시 중구,시도내이동-시군구간 전출[명],689
대구광역시 중구,시도간전입[명],370
대구광역시 중구,시도간전출[명],364
